emplacement,address,fast_charger,slow_charger,Support_car_type,latitude,longitude
동일하이빌뉴시티 아파트,서울특별시 성북구 하월곡동 88-387,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.60741326,127.0305693
충북소방본부 재난체험관,충청북도 청주시 상당구 월오동 181,2,0,"SM3 Z.E,테슬라",36.62000689,127.5456184
송파파인타운6단지 아파트,서울특별시 송파구 충민로6길 14,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.4808643,127.1324038
노은카운티스아파트,대전광역시 유성구 노은동 495,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.37051358,127.3163256
사창 대원칸타빌,충청북도 청주시 서원구 사창동 예체로67번길 87,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.63256243,127.463205
영어교육도시119센터,제주특별자치도 서귀포시 대정읍 보성리 산 1-16,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",33.28711049,126.2757429
능서면 행정복지센터,경기도 여주시 능서면 번도리 502-3,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.30023602,127.5733983
대전지방기상청,"대전광역시 유성구 대학로 383 (구성동, 대전지방기상청)",1,0,"SM3 Z.E,테슬라",36.37243284,127.3717642
청주푸르지오캐슬3단지 아파트,충청북도 청주시 서원구 사창동 창신로 13,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.63191908,127.4642518
시흥성원 아파트,경기도 시흥시 은행동 538-2,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.44324378,126.7991402
청라한양수자인,인천광역시 서구 경서동 980-2,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.5569106,126.6652385
동청주지사,충청북도 청주시 청원구 우암동 343-1,2,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.64820249,127.4868526
서초더샵포레,서울특별시 서초구 내곡동 77,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.45105481,127.0644418
위례스타힐스,서울특별시 송파구 장지동 위례광장로 215,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.47975251,127.1467497
정릉e편한세상 아파트,서울특별시 성북구 정릉동 1028,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.61519466,127.0102049
송림마을1단지 아파트,대전광역시 유성구 하기동 512,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.3886439,127.3184136
한국농어촌공사 여주이천지사,경기도 여주시 능서면 신지리 955-5,1,0,"SM3 Z.E,테슬라",37.28939064,127.5699395
율량삼성 아파트,충청북도 청주시 청원구 율량동 주성로 118번길 12,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.66909151,127.480357
은행동풍림아이원 아파트,경기도 시흥시 은행동 250-5,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.43322391,126.7974032
원신흥도서관,대전광역시 유성구 원신흥동 560,1,0,"SM3 Z.E,테슬라",36.33766668,127.3375563
충북 테크노파크,충청북도 청주시 청원구 오창읍 양청리 685-3,2,0,"SM3 Z.E,테슬라",36.72275487,127.4298719
송도1동 주민센터,인천광역시 연수구 송도동 3-33,1,0,"SM3 Z.E,테슬라",37.39106689,126.6520793
노변공영주차장,대구광역시 수성구 시지동 490,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",35.83950696,128.6942575
리버파크자이아파트,충청북도 청주시 흥덕구 옥산면 가락리 981,0,15,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.67582941,127.3911349
지산오차드힐아파트,제주특별자치도 서귀포시 서홍동 1597-1,0,2,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV",33.2612185,126.5549268
테크노7단지 아파트,대전광역시 유성구 관평동 892,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.42507577,127.3858876
가락마을10단지,세종특별자치시 고운동 1400,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.51388272,127.2277799
신세계 강남점,서울특별시 서초구 반포동 19-3,2,0,"SM3 Z.E,테슬라",37.50436375,127.0036211
충북 MBC,충청북도 청주시 흥덕구 가경동 352-8,2,0,"SM3 Z.E,테슬라",36.61888441,127.4343111
더샵레이크시티3차아파트,충청남도 아산시 음봉면 동암리 714,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.84335837,127.065742
풍암호수공원 공영주차장,광주광역시 서구 풍암동 857-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",35.12575845,126.868891
송도더샵퍼스트파크F15블록 아파트,인천광역시 연수구 송도동 102,0,8,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.38615369,126.6352821
홈플러스 서대전점,대전광역시 유성구 대정동 303-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.31376451,127.3189887
강원대학교,강원도 춘천시 효자동 192-1,1,0,"SM3 Z.E,테슬라",37.86905068,127.7449804
범물인앤인 아파트,대구광역시 수성구 지범로 52 (지산동),1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",35.82604038,128.626413
동면행정복지센터,강원도 춘천시 동면 지내리 209-15,2,0,"SM3 Z.E,테슬라",37.91034666,127.781206
한국프라우드아파트,서울특별시 은평구 역촌동 9-54,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.60621338,126.9157587
아산밸리 이지더원6단지,충청남도 아산시 둔포면 석곡리 1793,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.92623994,127.0553824
송도푸르지오월드마크2단지,인천광역시 연수구 송도동 20-23,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.39734743,126.6507077
춘천 동부시장,강원도 춘천시 운교동 182-10,1,0,"SM3 Z.E,테슬라",37.87691204,127.7343283
가온마을2단지,세종특별자치시 다정동 산 29,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.49587067,127.2419783
남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.57793349,126.9165621
현대멤피스(A),서울특별시 서초구 방배동 774-19,0,2,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV",37.49425987,126.9889509
